Namespace(batch_size=128, data_dir='~/.mxnet/datasets/coco', dtype='float16', input_size='256,192', last_gamma=False, log_interval=20, logging_file='simple_pose_resnet50_v1d.log', lr=0.008, lr_decay=0.1, lr_decay_epoch='90,120', lr_decay_period=0, lr_mode='step', mode='hybrid', model='simple_pose_resnet50_v1b', no_wd=True, num_epochs=140, num_gpus=8, num_joints=17, num_workers=60, save_dir='params_simple_pose_resnet50_v1d', save_frequency=1, use_pretrained=False, use_pretrained_base=True, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[34] Batch [139]	Speed: 2406.785009 samples/sec	loss=0.000619	lr=0.008000
Epoch[35] Batch [19]	Speed: 492.377621 samples/sec	loss=0.000654	lr=0.008000
Epoch[35] Batch [39]	Speed: 1832.235720 samples/sec	loss=0.000602	lr=0.008000
Epoch[35] Batch [59]	Speed: 1845.953709 samples/sec	loss=0.000668	lr=0.008000
Epoch[35] Batch [79]	Speed: 2010.771966 samples/sec	loss=0.000589	lr=0.008000
Epoch[35] Batch [99]	Speed: 2495.760325 samples/sec	loss=0.000632	lr=0.008000
Epoch[35] Batch [119]	Speed: 2641.978626 samples/sec	loss=0.000655	lr=0.008000
Epoch[35] Batch [139]	Speed: 2421.231604 samples/sec	loss=0.000631	lr=0.008000
Epoch[36] Batch [19]	Speed: 458.569756 samples/sec	loss=0.000640	lr=0.008000
Epoch[36] Batch [39]	Speed: 1796.802060 samples/sec	loss=0.000577	lr=0.008000
Epoch[36] Batch [59]	Speed: 1729.794461 samples/sec	loss=0.000670	lr=0.008000
Epoch[36] Batch [79]	Speed: 1981.412272 samples/sec	loss=0.000584	lr=0.008000
Epoch[36] Batch [99]	Speed: 2427.907032 samples/sec	loss=0.000635	lr=0.008000
Epoch[36] Batch [119]	Speed: 2566.565869 samples/sec	loss=0.000651	lr=0.008000
Epoch[36] Batch [139]	Speed: 2384.357461 samples/sec	loss=0.000596	lr=0.008000
Epoch[37] Batch [19]	Speed: 444.765558 samples/sec	loss=0.000666	lr=0.008000
Epoch[37] Batch [39]	Speed: 1829.141234 samples/sec	loss=0.000584	lr=0.008000
Epoch[37] Batch [59]	Speed: 1717.399121 samples/sec	loss=0.000553	lr=0.008000
Epoch[37] Batch [79]	Speed: 2041.272417 samples/sec	loss=0.000644	lr=0.008000
