Namespace(batch_size=32, data_shape=512, dataset='coco', epochs=240, gpus='0,1,2,3', log_interval=100, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='mobilenet1.0', num_workers=32, resume='', save_interval=10, save_prefix='ssd_512_mobilenet1.0_coco', seed=233, start_epoch=0, val_interval=10, wd=0.0005)
Start training from [Epoch 0]
[Epoch 5][Batch 2599], Speed: 154.209 samples/sec, CrossEntropy=4.018, SmoothL1=4.134
[Epoch 5][Batch 2699], Speed: 156.497 samples/sec, CrossEntropy=4.017, SmoothL1=4.133
[Epoch 5][Batch 2799], Speed: 198.575 samples/sec, CrossEntropy=4.016, SmoothL1=4.129
[Epoch 5][Batch 2899], Speed: 170.605 samples/sec, CrossEntropy=4.015, SmoothL1=4.133
[Epoch 5][Batch 2999], Speed: 177.433 samples/sec, CrossEntropy=4.014, SmoothL1=4.127
[Epoch 5][Batch 3099], Speed: 133.172 samples/sec, CrossEntropy=4.012, SmoothL1=4.127
[Epoch 5][Batch 3199], Speed: 107.454 samples/sec, CrossEntropy=4.013, SmoothL1=4.130
[Epoch 5][Batch 3299], Speed: 198.405 samples/sec, CrossEntropy=4.012, SmoothL1=4.135
[Epoch 5][Batch 3399], Speed: 195.211 samples/sec, CrossEntropy=4.011, SmoothL1=4.132
[Epoch 5][Batch 3499], Speed: 200.968 samples/sec, CrossEntropy=4.010, SmoothL1=4.135
[Epoch 5][Batch 3599], Speed: 144.533 samples/sec, CrossEntropy=4.008, SmoothL1=4.129
[Epoch 5] Training cost: 755.603, CrossEntropy=4.007, SmoothL1=4.129
[Epoch 6][Batch 99], Speed: 169.116 samples/sec, CrossEntropy=3.896, SmoothL1=4.199
[Epoch 6][Batch 199], Speed: 161.689 samples/sec, CrossEntropy=3.947, SmoothL1=4.180
[Epoch 6][Batch 299], Speed: 191.476 samples/sec, CrossEntropy=3.952, SmoothL1=4.235
[Epoch 6][Batch 399], Speed: 183.422 samples/sec, CrossEntropy=3.956, SmoothL1=4.261
[Epoch 6][Batch 499], Speed: 184.826 samples/sec, CrossEntropy=3.957, SmoothL1=4.240
[Epoch 6][Batch 599], Speed: 184.154 samples/sec, CrossEntropy=3.960, SmoothL1=4.202
[Epoch 6][Batch 699], Speed: 198.407 samples/sec, CrossEntropy=3.959, SmoothL1=4.193
[Epoch 6][Batch 799], Speed: 127.378 samples/sec, CrossEntropy=3.960, SmoothL1=4.182
[Epoch 6][Batch 899], Speed: 129.866 samples/sec, CrossEntropy=3.961, SmoothL1=4.139
[Epoch 6][Batch 999], Speed: 143.632 samples/sec, CrossEntropy=3.960, SmoothL1=4.142
